"Date",Gross $,Customers
20090730,46.28,10
20090801,287.37,44
20090802,481.01,68
20090803,312.46,46
20090804,377.95,55
20090805,370.15,50
20090806,473.45,48
20090807,335.21,51
20090808,328.97,57
20090809,429.78,51
20090810,341.36,53
20090811,422.62,51
20090812,447.95,62
20090813,379.89,61
20090814,420.99,61
20090815,370.50,59
20090816,407.83,52
20090817,298.40,51
20090818,397.24,58
20090819,303.46,50
20090820,450.47,63
20090821,509.11,61
20090822,325.67,38
20090823,484.20,59
20090824,345.11,58
20090825,208.50,41
20090826,300.58,47
20090827,312.58,47
20090828,368.65,43
20090829,375.20,47
20090830,443.84,55
20090831,339.70,57
20090901,404.91,49
20090902,319.32,51
20090903,310.35,53
20090904,254.18,48
20090905,369.26,46
20090906,285.70,42
20090907,297.02,53
20090908,281.91,54
20090909,481.42,58
20090910,370.68,48
20090911,379.98,55
20090912,323.29,50
20090913,488.11,61
20090914,553.28,80
20090915,538.25,71
20090916,378.21,66
20090917,300.40,53
20090918,452.42,60
20090919,284.28,42
20090920,149.05,29
20090921,503.61,58
20090922,349.12,43
20090923,389.64,55
20090924,444.69,63
20090925,363.32,58
20090926,462.78,55
20090927,519.80,70
20090928,478.18,63
20090929,405.88,64
20090930,446.41,71
20091001,271.89,43
20091002,355.86,47
20091003,357.85,52
20091004,476.57,68
20091005,467.29,71
20091006,602.56,76
20091007,476.32,61
20091008,376.95,58
20091009,434.49,64
20091010,265.05,47
20091011,362.64,51
20091012,516.25,69
20091013,589.29,76
20091014,327.78,55
20091015,295.00,54
20091016,354.40,56
20091017,487.02,62
20091018,358.60,59
20091019,402.24,72
20091020,416.35,73
20091021,447.07,70
20091022,399.75,55
20091023,247.08,53
20091024,470.05,62
20091025,290.39,54
20091026,504.14,64
20091027,353.72,45
20091028,376.80,68
20091029,443.76,66
20091030,279.20,51
20091031,373.51,55
20091101,532.40,60
20091102,649.84,72
20091103,499.86,66
20091104,507.95,74
20091105,603.47,74
20091106,378.45,66
20091107,362.71,65
20091108,482.48,60
20091109,416.74,69
20091110,458.73,64
20091111,325.01,58
20091112,601.46,70
20091113,433.86,65
20091114,469.66,77
20091115,352.24,50
20091116,380.99,53
20091117,426.35,64
20091118,470.20,67
20091119,354.50,51
20091120,522.50,64
20091121,396.25,53
20091122,468.57,77
20091123,485.88,71
20091124,292.07,45
20091125,317.14,44
20091126,59.75,7
20091127,304.98,48
20091128,133.22,33
20091129,322.31,48
20091130,652.37,78
20091201,622.64,74
20091202,578.28,72
20091203,301.48,43
20091204,296.83,43
20091205,322.23,51
20091206,397.04,60
20091207,415.00,59
20091208,417.46,52
20091209,488.38,59
20091210,368.45,38
20091211,403.17,44
20091212,234.78,50
20091213,278.84,44
20091214,370.69,59
20091215,276.62,38
20091216,254.97,41
20091217,283.86,49
20091218,281.25,51
20091219,147.29,32
20091220,249.67,35
20091221,205.43,34
20091222,200.85,32
20091223,114.41,24
20091224,26.57,6
20091225,0.00,0
20091226,142.81,22
20091227,234.35,29
20091228,209.17,27
20091229,199.35,26
20091230,264.37,43
20091231,437.51,39
20100101,173.29,32
20100102,319.30,34
20100103,409.57,52
20100104,592.77,63
20100105,472.63,69
