"Date",Gross $,Customers
20090730,34.05,2
20090801,23.50,1
20090802,26.74,5
20090803,0.00,0
20090804,35.76,1
20090805,13.67,2
20090806,10.00,3
20090807,14.34,4
20090808,6.50,2
20090809,0.00,0
20090810,0.00,0
20090811,34.26,2
20090812,0.00,0
20090813,0.00,0
20090814,0.00,0
20090815,44.23,5
20090816,8.50,1
20090817,11.46,3
20090818,30.58,3
20090819,0.00,0
20090820,1.50,1
20090821,39.25,1
20090822,2.50,1
20090823,21.25,4
20090824,0.00,0
20090825,0.00,0
20090826,0.00,0
20090827,0.00,0
20090828,0.00,0
20090829,0.00,0
20090830,10.14,2
20090831,2.50,1
20090901,20.83,4
20090902,12.00,1
20090903,0.00,0
20090904,3.00,1
20090905,4.00,2
20090906,17.89,1
20090907,0.00,0
20090908,11.45,2
20090909,0.54,1
20090910,21.75,2
20090911,42.32,2
20090912,19.64,2
20090913,22.43,3
20090914,24.31,4
20090915,4.94,2
20090916,10.49,2
20090917,0.00,0
20090918,2.00,1
20090919,12.28,2
20090920,4.50,1
20090921,0.00,0
20090922,2.71,1
20090923,0.00,0
20090924,6.50,1
20090925,4.75,3
20090926,0.00,0
20090927,0.00,0
20090928,0.40,1
20090929,0.00,0
20090930,13.02,1
20091001,0.00,0
20091002,74.32,11
20091003,0.00,0
20091004,4.00,2
20091005,2.66,2
20091006,2.00,1
20091007,1.65,1
20091008,7.98,2
20091009,30.29,5
20091010,1.40,1
20091011,10.10,2
20091012,26.69,4
20091013,14.37,5
20091014,52.88,9
20091015,73.66,6
20091016,64.13,9
20091017,51.93,12
20091018,29.72,7
20091019,137.40,13
20091020,75.75,9
20091021,76.67,13
20091022,45.75,8
20091023,44.56,8
20091024,21.98,7
20091025,69.84,9
20091026,27.68,4
20091027,46.75,8
20091028,49.86,8
20091029,89.97,10
20091030,28.65,10
20091031,19.57,5
20091101,35.00,4
20091102,58.80,10
20091103,19.76,4
20091104,63.98,7
20091105,40.22,9
20091106,36.62,6
20091107,78.85,11
20091108,18.45,4
20091109,54.76,12
20091110,49.78,9
20091111,45.69,7
20091112,29.85,8
20091113,24.16,6
20091114,141.52,15
20091115,14.00,2
20091116,77.77,11
20091117,92.07,11
20091118,71.53,6
20091119,115.45,14
20091120,45.61,10
20091121,70.20,12
20091122,27.99,6
20091123,22.69,5
20091124,29.21,5
20091125,64.90,7
20091126,0.00,0
20091127,44.91,5
20091128,19.10,7
20091129,77.77,7
20091130,54.79,7
20091201,44.35,8
20091202,21.87,4
20091203,3.50,1
20091204,153.50,12
20091205,67.82,6
20091206,56.22,5
20091207,38.08,7
20091208,54.00,6
20091209,36.85,7
20091210,48.60,8
20091211,58.84,9
20091212,48.01,9
20091213,0.00,0
20091214,54.92,9
20091215,68.90,7
20091216,40.07,10
20091217,6.81,2
20091218,0.00,0
20091219,35.05,5
20091220,6.28,2
20091221,0.00,0
20091222,7.69,3
20091223,16.12,5
20091224,0.00,0
20091225,0.00,0
20091226,8.86,1
20091227,0.00,0
20091228,0.00,0
20091229,0.00,0
20091230,0.00,0
20091231,0.00,0
20100101,26.50,5
20100102,9.25,2
20100103,49.66,8
20100104,50.68,9
20100105,63.73,6
20100106,21.09,5
20100107,49.13,12
20100108,15.20,2
20100109,63.14,9
20100110,29.65,5
20100111,58.99,8
20100112,68.21,14
20100113,24.85,7
20100114,45.06,12
20100115,103.04,9
20100116,73.04,6
20100117,48.03,8
20100118,54.97,10
20100119,27.13,7
20100120,25.65,10
20100121,7.78,3
20100122,69.67,10
20100123,51.58,10
20100124,26.14,7
20100125,33.59,5
20100126,38.95,6
20100127,65.15,9
20100128,90.03,10
20100129,39.50,7
20100130,44.89,6
20100131,65.13,8
20100201,50.73,7
20100202,51.90,9
20100203,42.85,3
20100204,21.29,4
20100205,47.10,10
20100206,81.04,9
20100207,49.73,6
20100208,50.81,12
20100209,80.57,18
20100210,26.49,7
20100211,69.62,9
20100212,164.17,9
20100213,24.50,6
20100214,31.25,6
20100215,34.51,7
20100216,73.07,14
20100217,51.48,14
20100218,86.43,18
20100219,47.71,8
20100220,96.69,14
20100221,31.61,8
20100222,123.99,14
20100223,121.86,14
20100224,87.09,14
20100225,101.31,10
20100226,69.98,10
20100227,40.63,6
20100228,29.39,8
20100301,80.75,12
20100302,26.28,7
20100303,8.28,3
20100304,30.98,11
20100305,86.79,10
20100306,52.24,9
20100307,77.17,10
20100308,81.10,10
20100309,45.68,5
20100310,72.88,6
20100311,125.87,9
20100312,76.60,10
20100313,46.79,7
20100314,39.75,4
20100315,63.96,14
20100316,96.68,13
20100317,95.35,14
20100318,46.07,12
20100319,51.40,9
20100320,45.01,5
20100321,24.27,4
20100322,46.32,5
20100323,26.07,6
20100324,8.50,2
20100325,40.00,8
20100326,24.98,7
20100327,18.53,3
20100328,47.50,5
20100329,58.41,10
20100330,51.36,11
20100331,34.47,8
20100401,48.43,10
20100402,118.85,16
20100403,36.90,8
20100404,10.75,3
20100405,42.14,8
20100406,37.78,6
20100407,38.39,8
20100408,59.34,13
20100409,50.93,8
20100410,31.12,3
20100411,68.45,10
20100412,72.86,10
20100413,22.83,6
20100414,92.48,8
20100415,78.08,10
20100416,130.98,23
20100417,105.98,15
20100418,66.26,5
20100419,60.94,12
20100420,131.00,17
20100421,22.87,7
20100422,50.65,10
